UnixTime,SensorID,PM1,PM2_5,PM10
1627584757.34,2,1,2,4
1627584758.07,1,4,8,10
1627584758.19,2,1,2,4
1627584758.92,1,4,8,10
1627584759.03,2,1,2,4
1627584759.77,1,4,8,10
1627584759.95,2,1,2,4
1627584760.69,1,5,8,10
1627584760.79,2,1,2,4
1627584761.53,1,5,8,10
1627584761.64,2,1,2,4
1627584762.38,1,5,8,10
1627584762.56,2,1,2,4
1627584763.30,1,5,8,10
1627584763.40,2,1,2,4
1627584764.14,1,5,8,10
1627584764.25,2,1,2,4
1627584764.99,1,5,8,10
1627584765.16,2,1,2,4
1627584765.91,1,5,7,8
1627584766.01,2,1,2,4
1627584766.76,1,5,7,8
1627584766.86,2,1,2,4
1627584767.60,1,5,7,8
1627584767.77,2,2,3,4
1627584768.52,1,4,7,8
1627584768.62,2,2,3,4
1627584769.37,1,4,7,8
1627584769.46,2,2,3,4
1627584770.21,1,4,7,8
1627584770.38,2,2,3,5
1627584771.13,1,5,7,8
1627584771.23,2,2,3,5
1627584771.98,1,5,7,8
1627584772.07,2,2,3,5
1627584772.83,1,5,7,8
1627584772.99,2,1,3,4
1627584773.74,1,5,7,7
1627584773.83,2,1,3,4
1627584774.59,1,5,7,7
1627584774.68,2,1,3,4
1627584775.44,1,5,7,7
1627584775.60,2,2,3,5
1627584776.36,1,5,7,7
1627584776.44,2,2,3,5
1627584777.20,1,5,7,7
1627584777.29,2,2,3,5
1627584778.05,1,5,7,7
1627584778.20,2,2,3,5
1627584778.97,1,5,7,7
1627584779.05,2,2,3,5
1627584779.81,1,5,7,7
1627584779.90,2,2,3,5
1627584780.66,1,5,7,7
1627584780.81,2,1,3,5
1627584781.58,1,5,6,6
1627584781.66,2,1,3,5
1627584782.43,1,5,6,6
1627584782.50,2,1,3,5
1627584783.27,1,5,6,6
1627584783.42,2,2,3,3
1627584784.19,1,5,7,7
1627584784.27,2,2,3,3
1627584785.04,1,5,7,7
1627584785.11,2,2,3,3
1627584785.89,1,5,7,7
1627584786.03,2,2,3,3
1627584786.80,1,4,6,6
1627584786.87,2,2,3,3
1627584787.65,1,4,6,6
1627584787.72,2,2,3,3
1627584788.50,1,4,6,6
1627584788.64,2,2,3,3
1627584789.42,1,4,7,8
1627584789.48,2,2,3,3
1627584790.26,1,4,7,8
1627584790.33,2,2,3,3
1627584791.11,1,4,7,8
1627584791.24,2,2,3,3
1627584792.03,1,5,7,9
1627584792.09,2,2,3,3
1627584792.87,1,5,7,9
1627584792.94,2,2,3,3
1627584793.72,1,5,7,9
1627584793.85,2,1,2,2
1627584794.64,1,3,6,8
1627584794.70,2,1,2,2
1627584795.49,1,3,6,8
1627584795.54,2,1,2,2
1627584796.33,1,3,6,8
1627584796.46,2,1,2,2
1627584797.25,1,3,7,8
1627584797.30,2,1,2,2
1627584798.10,1,4,8,9
1627584798.15,2,1,2,2
1627584798.95,1,4,8,9
1627584799.07,2,1,2,2
1627584799.86,1,4,8,9
1627584799.91,2,1,2,2
1627584800.71,1,3,7,8
1627584800.76,2,1,2,2
1627584801.56,1,3,7,8
1627584801.67,2,1,2,2
1627584802.47,1,3,6,8
1627584802.52,2,1,2,2
1627584803.32,1,3,6,8
1627584803.37,2,1,2,2
